RowId,DwgId,DwgHandleLow,DwgHandleHigh,DwgSubIndex,RowClassName,PnPID
8017,3402,135282,0,0,ConcentricReducer,8018
8019,3402,135283,0,0,Primary,8020
8023,3402,135294,0,0,GateValve,8024
8030,3402,135345,0,0,FIELDCS2,8031
8032,3402,135399,0,0,FIELDCS2,8033
8034,3402,135413,0,0,FIELDCS2,8035
8036,3402,135507,0,0,FIELDCS2,8037
8040,3402,135528,0,0,ConcentricReducer,8041
8042,3402,135529,0,0,Primary,8043
8046,3402,135540,0,0,GateValve,8047
8050,3402,135551,0,0,GateValve,8051
8054,3402,135559,0,0,ConcentricReducer,8055
8070,3402,135619,0,0,ConcentricReducer,8071
8076,3402,135628,0,0,ConcentricReducer,8077
8078,3402,135629,0,0,Primary,8079
8082,3402,135640,0,0,GateValve,8083
8086,3402,135651,0,0,GateValve,8087
8088,3402,135652,0,0,FIELDCS2,8089
8092,3402,135756,0,0,GateValve,8093
8096,3402,135764,0,0,ConcentricReducer,8097
8101,3402,135766,0,0,Primary,8102
8112,3402,147728,0,0,FIELDDCS3,8113
8115,3402,147742,0,0,FIELDDCS3,8116
8119,3402,147806,0,0,GateValve,8120
8125,3402,147858,0,0,GateValve,8126
8131,3402,147867,0,0,ConcentricReducer,8132
8133,3402,147868,0,0,Primary,8134
8137,3402,147922,0,0,GateValve,8138
8141,3402,154069,0,0,Annotation,8142
8143,3402,160105,0,0,Annotation,8144
8145,3402,163128,0,0,Annotation,8146
8147,3402,163138,0,0,Annotation,8148
8149,3402,163148,0,0,Annotation,8150
8151,3402,163158,0,0,Annotation,8152
8157,3402,163224,0,0,ConcentricReducer,8158
8161,3402,163232,0,0,Primary,8162
8165,3402,169292,0,0,CheckValve,8166
8170,3402,169303,0,0,Annotation,8171
8174,3402,175457,0,0,Annotation,8175
8178,3402,175477,0,0,Annotation,8179
8182,3402,175504,0,0,ConcentricReducer,8183
8186,3402,175505,0,0,Primary,8187
8188,3402,178581,0,0,Annotation,8189
8192,3402,178595,0,0,Annotation,8193
8194,3402,178602,0,0,Annotation,8195
8196,3402,178609,0,0,FIELDCS2,8197
8198,3402,178623,0,0,FIELDCS2,8199
8201,3402,178637,0,0,FIELDDCS3,8202
8203,3402,178691,0,0,Annotation,8204
8205,3402,178701,0,0,Annotation,8206
8207,3402,178708,0,0,Annotation,8208
8209,3402,178718,0,0,Annotation,8210
8211,3402,178728,0,0,Annotation,8212
8213,3402,178735,0,0,Annotation,8214
8215,3402,178745,0,0,Annotation,8216
8217,3402,178792,0,0,FIELDCS2,8218
8219,3402,178806,0,0,FIELDCS2,8220
8221,3402,178827,0,0,ConcentricReducer,8222
8223,3402,178820,0,0,Annotation,8224
8225,3402,178828,0,0,Primary,8226
8227,3402,178829,0,0,FieldMountedDCS,8228
8229,3402,178883,0,0,Annotation,8230
8231,3402,178893,0,0,Annotation,8232
8233,3402,178900,0,0,ConcentricReducer,8234
8235,3402,178901,0,0,Primary,8236
8237,3402,178902,0,0,FIELDCS2,8238
8239,3402,178916,0,0,Annotation,8240
8269,3402,182147,0,0,AngleValve,8270
8278,3402,188791,0,0,Annotation,8279
8280,3402,191954,0,0,AngleValve,8281
8282,3402,191941,0,0,Annotation,8283
8284,3402,191995,0,0,FIELDCS2,8285
8286,3402,192009,0,0,FIELDCS2,8287
8288,3402,192023,0,0,FIELDCS2,8289
8290,3402,192078,0,0,FIELDCS2,8291
8292,3402,192092,0,0,FIELDCS2,8293
8294,3402,192146,0,0,Annotation,8295
8296,3402,192156,0,0,Annotation,8297
8298,3402,192166,0,0,Annotation,8299
8301,3402,192176,0,0,Annotation,8302
8303,3402,192186,0,0,Annotation,8304
8305,3402,192193,0,0,Annotation,8306
8307,3402,192268,0,0,Annotation,8308
8309,3402,192275,0,0,Annotation,8310
8311,3402,192285,0,0,Annotation,8312
8313,3402,192295,0,0,Annotation,8314
8315,3402,192305,0,0,Annotation,8316
8317,3402,192315,0,0,Annotation,8318
8319,3402,192322,0,0,Annotation,8320
8321,3402,192332,0,0,Annotation,8322
8323,3402,192342,0,0,Annotation,8324
8325,3402,192349,0,0,Annotation,8326
8327,3402,192359,0,0,Annotation,8328
8329,3402,192369,0,0,Annotation,8330
8331,3402,192376,0,0,Annotation,8332
8333,3402,192383,0,0,Annotation,8334
8335,3402,192390,0,0,Annotation,8336
8337,3402,192397,0,0,Annotation,8338
8339,3402,192404,0,0,Annotation,8340
