PnPID,ClassName,Description,Manufacturer,ModelNumber,Supplier,Comment,FlagValue,AcquisitionProperties,Status,ParamOnLine
10591,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10597,Gate Valve,GATE VALVE,,,,,0,Size,New,3.370711
10602,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10604,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10608,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10619,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10634,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10640,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10642,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10646,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10660,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10670,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10672,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10687,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10706,Concentric Reducer,CONCENTRIC REDUCER,,,,,0,,New,
10708,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10710,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10715,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10718,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10723,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10725,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10729,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10740,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10744,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10747,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10756,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10758,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10767,Check Valve,CHECK VALVE,,,,,0,Size,New,0.375392
10769,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10771,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10773,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10778,Centrifugal Pump,CENTRIFUGAL PUMP,,,,,0,#Status,New,0.501595
10782,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10793,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10805,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10807,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10813,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10816,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10820,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10828,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10833,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10846,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10851,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10864,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10867,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10878,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10880,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10883,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10890,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10892,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10894,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10898,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10908,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10912,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10917,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10919,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10923,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
10932,Gate Valve,GATE VALVE,,,,,0,Size,,0.279203
10965,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10974,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10978,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10980,Gate Valve,GATE VALVE,,,,,0,Size,New,0.02781
10996,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
10998,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11140,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11150,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11154,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11165,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11206,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11209,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11211,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11214,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
11216,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
11220,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11222,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11232,Flexible Hose,FLEXIBLE HOSE,,,,,0,,,
11293,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11296,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11299,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11303,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
11306,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
11440,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11453,Jacketed Pipe Segment,JACKETED PIPE SEGMENT,,,,,0,#Status,New,
11459,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11476,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11502,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11507,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
11702,Primary Line Segment,PRIMARY LINE SEGMENT,,,,,0,#Status,New,
