TableName,PropertyName,PropertyType,IsObjectId,IsCounter,IsSystem,IsUnique,CheckConstraint,DefaultValue,Length,IsExpression,Expression
StopCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
SwingCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ThreeWayBallValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ThreeWayGlobeValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ThreeWayValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ValveGeneral,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
StraightwayCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ScrewdownStraightwayCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AngleCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ScrewdownAngleCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BallCheckValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
StraightwayProgressiveAdjustment,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AngleValveProgressiveAdjustmentCharacteristic,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
BallFloatValve,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
HoseClamp,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
StraightwayPressureReducing,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
StraightwayPressureReducingInjection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
AnglePressureReducingInjection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ThreewayPressureReducingInjection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
GateValveprogressiveAdjustment,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
ButterflyValveProgressiveAdjustmentCharacteristic,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
LouverDamper,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
RollShutterDamper,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FlowLimiterWithOrificePlate,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
InspectionGlass,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
MixingSection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
FreezingSection,PnPID,System.Int64,TRUE,FALSE,FALSE,FALSE,,,-1,FALSE,
